in2code femanager 5.5.1 for typo3,[in2code](cpe_vendor) [femanager](cpe_product) [5.5.1](cpe_version) for typo3
google protobuf 3.6.1,[google](cpe_vendor) [protobuf](cpe_product) [3.6.1](cpe_version)
riot.js riot-compiler 3.1.2 for node.js,[riot.js](cpe_vendor) [riot-compiler](cpe_product) [3.1.2](cpe_version) for node.js
gecad technologies axigen mail server 3.0 beta,[gecad](cpe_vendor) technologies [axigen mail server](cpe_product) [3.0](cpe_version) beta
quobject docker-cli-js 2.0.1 for node.js,[quobject](cpe_vendor) [docker-cli-js](cpe_product) [2.0.1](cpe_version) for node.js
thephpleague flysystem 0.3.0,[thephpleague](cpe_vendor) [flysystem](cpe_product) [0.3.0](cpe_version)
episerver ektron cms 9.20 service pack 2,[episerver](cpe_vendor) [ektron cms](cpe_product) [9.20](cpe_version) service pack 2
phpkaiyuancms phpopensourcecms (poscms) 2.1.1,[phpkaiyuancms](cpe_vendor) [phpopensourcecms](cpe_product) (poscms) [2.1.1](cpe_version)
ibm websphere enterprise service bus 7.0.0.4,[ibm](cpe_vendor) [websphere enterprise service bus](cpe_product) [7.0.0.4](cpe_version)
ozlabs patchwork 2.1.4,[ozlabs](cpe_vendor) [patchwork](cpe_product) [2.1.4](cpe_version)
intland codebeamer application lifecycle management (alm) 10.0.1 service pack 1,[intland](cpe_vendor) [codebeamer application lifecycle management](cpe_product) (alm) [10.0.1](cpe_version) service pack 1
nodejs node.js 2.3.3,[nodejs](cpe_vendor) [node.js](cpe_product) [2.3.3](cpe_version)
cyberlink powerdvd 2.55,[cyberlink](cpe_vendor) [powerdvd](cpe_product) [2.55](cpe_version)
netgear r6400 firmware 1.0.2.60,[netgear](cpe_vendor) [r6400 firmware](cpe_product) [1.0.2.60](cpe_version)
ithemes paypal pro 1.1.34 for wordpress,[ithemes](cpe_vendor) [paypal pro](cpe_product) [1.1.34](cpe_version) for wordpress
yworks yed 3.18.0.1,[yworks](cpe_vendor) [yed](cpe_product) [3.18.0.1](cpe_version)
kepware kepserverex 6.9.584.0,[kepware](cpe_vendor) [kepserverex](cpe_product) [6.9.584.0](cpe_version)
rosariosis student information system 3.7.1,[rosariosis](cpe_vendor) [student information system](cpe_product) [3.7.1](cpe_version)
synology surveillance station 8.1.2-5469,[synology](cpe_vendor) [surveillance station](cpe_product) [8.1.2-5469](cpe_version)
matroska mkclean 0.1.4,[matroska](cpe_vendor) [mkclean](cpe_product) [0.1.4](cpe_version)
dlink dsl-gs225 firmware au_1.0.4,[dlink](cpe_vendor) [dsl-gs225 firmware](cpe_product) [au_1.0.4](cpe_version)
thinkshout mailchimp module for drupal 7.x-2.0-beta1,[thinkshout](cpe_vendor) [mailchimp](cpe_product) module for drupal [7.x-2.0](cpe_version)-beta1
netgear r7000 firmware 2017-01-06,[netgear](cpe_vendor) [r7000 firmware](cpe_product) [2017-01-06](cpe_version)
status react native desktop 0.24.0 release candidate 2,[status](cpe_vendor) [react native desktop](cpe_product) [0.24.0](cpe_version) release candidate 2
paessler prtg network monitor 14.3.11,[paessler](cpe_vendor) [prtg network monitor](cpe_product) [14.3.11](cpe_version)
palm blazer 4.0,[palm](cpe_vendor) [blazer](cpe_product) [4.0](cpe_version)
theme-fusion avada 5.4.1 for wordpress,[theme-fusion](cpe_vendor) [avada](cpe_product) [5.4.1](cpe_version) for wordpress
healthways well-being connect mobile (aka com.healthways.wellbeinggo) for android 2.9,[healthways](cpe_vendor) [well-being connect mobile](cpe_product) (aka com.healthways.wellbeinggo) for android [2.9](cpe_version)
in2code femanager 5.4.2 for typo3,[in2code](cpe_vendor) [femanager](cpe_product) [5.4.2](cpe_version) for typo3
gecad technologies axigen mail server 7.4.1,[gecad](cpe_vendor) technologies [axigen mail server](cpe_product) [7.4.1](cpe_version)
webtorrent bittorrent-dht 7.2.0 for node.js,[webtorrent](cpe_vendor) [bittorrent-dht](cpe_product) [7.2.0](cpe_version) for node.js
softaculous webuzo 1.0,[softaculous](cpe_vendor) [webuzo](cpe_product) [1.0](cpe_version)
digium certified asterisk 1.4.38.1,[digium](cpe_vendor) [certified asterisk](cpe_product) [1.4.38.1](cpe_version)
bigprof appgini 4.10,[bigprof](cpe_vendor) [appgini](cpe_product) [4.10](cpe_version)
digium asterisk 16.3.0,[digium](cpe_vendor) [asterisk](cpe_product) [16.3.0](cpe_version)
virustotal yara 3.7.0,[virustotal](cpe_vendor) [yara](cpe_product) [3.7.0](cpe_version)
sap openui5 1.52.16,[sap](cpe_vendor) [openui5](cpe_product) [1.52.16](cpe_version)
